ISO,AT,AU,BR,CN,DE,DK,ES,ET,FI,FR,GB,GH,GR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LB,MA,MX,MY,NG,NO,PH,PL,PT,SE,TH,US,VN,ZA
JP,1,0.997967999357714,0.998158189374081,0.999985447657663,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.993016651083323,1,1,1,1,1,1,1,1,1,1,0.998667837309122,0.998612738887237,1,1
KE,0.999925825973872,0.999872918704706,0.999924748926901,1,0.999729040350633,0.999714951580022,0.999535715593447,0.963086282821628,0.999826387384421,0.99861141888679,0.999804234574778,0.945356483522682,0.99992088182808,0.999994134763797,1,0.999924679327398,0.98167042662529,0.999226659331434,0.998982604363259,0.999924734020814,1,0,1,0.976024069670987,0.974777590581669,0.999928222110054,0.99999025575081,0.913135061688477,0.999549075348222,0.999999533385735,0.999924774586223,0.999924632998367,0.999370050777359,1,0.999922260360617,1,0.743633729072805
KR,1,0.99621346371437,1,0.994551079341803,1,1,1,1,1,1,1,1,1,1,0.999973854814361,1,1,0.999997425556867,1,1,0.993016651083323,1,0,1,1,1,0.999340361948157,1,1,0.999961434635484,1,1,0.999993916400512,0.999918581052293,0.996545446259526,0.999885385156286,1
LB,0.997142558882805,0.995702318968069,0.995781633371562,1,0.989653248877722,0.995989197771735,0.984532530725414,0.649314543670545,0.998995288029172,0.960589644498908,0.996239955675054,0.999475197411666,0.996944074421461,0.99984440789785,1,0.997107493444067,0.530623606972044,0.980893635288596,0.961807613111415,0.996040282376498,1,0.976024069670987,1,0,0.437937824697348,0.995952940306781,0.999719600812478,0.930038467280735,0.995419229702217,0.999973664856215,0.997111151626682,0.995758075859159,0.991523127978332,1,0.996895120901483,1,0.999152639559891
MA,0.999884866378178,0.998818974909952,0.999003182246797,1,0.995291606744768,0.998957271003108,0.987887361228584,0.660175833393504,0.999235928747337,0.963917877554169,0.999413652841945,0.999979500613777,0.999875533703672,0.999997838374816,1,0.999887015402818,0.627234690016636,0.999912510341201,0.989003025496938,0.999175632521171,1,0.974777590581669,1,0.437937824697348,0,0.999033627407728,0.99999699968013,0.926298297221186,0.998191892661266,0.999993700507352,0.999887158295594,0.998990296489789,0.995068096431412,1,0.999758319306621,1,0.999972968634974
MX,0.945611371816896,0.937387967009949,0.336520737519975,1,0.94128169698073,0.947385740072372,0.137765510441996,1,0.996637847524858,0.560392527385752,0.940769432467449,0.990152680577166,0.943727565774093,0.998990726512251,1,0.944729701186421,0.956239468868368,0.959231315490497,0.956918249873412,0.622786321251689,1,0.999928222110054,1,0.995952940306781,0.999033627407728,0,0.998554344366948,1,0.944608546194303,0.995121673255516,0.947410319896218,0.32389715329329,0.939183077247946,1,0.824253487051853,1,0.987026722821006
MY,0.994139056490834,0.977686878717132,0.998420696925857,0.82944367431706,0.994216491781161,0.994666354770679,0.998469094981546,1,0.999671925171452,0.998533079126725,0.983223214501116,0.998008882343887,0.998492905446366,0.999932773004094,0.768123890905513,0.983057005211933,0.999077223610225,0.985676434432004,0.99542409789979,0.998505886484792,1,0.99999025575081,0.999340361948157,0.999719600812478,0.99999699968013,0.998554344366948,0,1,0.994540822112196,0.887761450120211,0.998491615510685,0.998473953784227,0.994640823029593,0.982997816907167,0.983464451813375,0.992416740853325,0.997102489664664
NG,1,0.999881984300084,1,1,0.999430588997043,0.99979299582275,0.998858188476282,0.934029782413859,0.999831733397797,0.996149139927264,0.999896539223082,0.94542249826726,1,1,1,1,0.946528631887905,1,0.998645828619575,1,1,0.913135061688477,1,0.930038467280735,0.926298297221186,1,1,0,0.999623537579841,1,1,1,0.99911611243175,1,1,1,0.900426827817435
NO,0.758455047767518,0.769980288814781,0.938024680531014,0.999974959468225,0.758755627903947,0.25970506950675,0.942259439914397,0.997586394839061,0.958059110603779,0.943432843760669,0.753836912786031,0.952810359191493,0.945852058792848,0.994910526626732,0.999415690101389,0.748172351520209,0.968029378594221,0.955322333899254,0.952382904189391,0.943145348577766,1,0.999549075348222,1,0.995419229702217,0.998191892661266,0.944608546194303,0.994540822112196,0.999623537579841,0,0.997188525644925,0.919026089922795,0.941707738106645,0.307029716704319,0.997184477033069,0.779401432333648,0.997768116979682,0.93894493283817
PH,0.999652412356427,0.996087628984406,0.995676996841626,0.989977067981606,0.999624872988617,0.999662134525929,0.995218965893682,1,0.999978387435046,0.997141146303912,0.998838886515023,0.999937901922075,0.999634128300456,0.999993451863991,0.847243763111847,0.998803407227672,0.999724875762405,0.999725065149708,0.999719933823645,0.997542501782115,1,0.999999533385735,0.999961434635484,0.999973664856215,0.999993700507352,0.995121673255516,0.887761450120211,1,0.997188525644925,0,0.99965817254833,0.995592297325365,0.999599008424769,0.996578736885242,0.995579311901975,0.99882292798423,0.999918114825803
PL,0.908227842629023,0.938983904430309,0.9448271118314,1,0.926926229831068,0.939259873522661,0.941035274736934,1,0.989616715421168,0.94815549433865,0.932378178313168,0.989686135169368,0.933095694960734,0.998335039786857,1,0.926375147678763,0.90239048936521,0.957273177524795,0.954849014342104,0.944852950169213,1,0.999924774586223,1,0.997111151626682,0.999887158295594,0.947410319896218,0.998491615510685,1,0.919026089922795,0.99965817254833,0,0.941997237675714,0.937666451958582,1,0.94133554127432,1,0.986335207879999
PT,0.942656273192453,0.93496498348980706,0.050940124749854,1,0.937050567222946,0.944391037778682,0.322088340941661,1,0.996420950364999,0.538754224378607,0.937352848713595,0.989578520123124,0.940867020378763,0.998929892399412,1,0.941465522346735,0.958928723049564,0.957192757904958,0.954764032008021,0.606321432774346,1,0.999924632998367,1,0.995758075859159,0.998990296489789,0.32389715329329,0.998473953784227,1,0.941707738106645,0.995592297325365,0.941997237675714,0,0.938774451669691,1,0.85185042392752,1,0.986204837313136
SE,0.763416725451738,0.77356084288378,0.935156577297443,0.99839736966581,0.762122358582063,0.274434783936978,0.937254359340597,0.994831785709027,0.932381906623289,0.941566665842361,0.757783791776984,0.953610393033377,0.945855111048071,0.978179320075469,0.999986934955699,0.752449658767329,0.967020901722305,0.953451259041126,0.947316703350432,0.941977841557354,1,0.999370050777359,0.999993916400512,0.991523127978332,0.995068096431412,0.939183077247946,0.994640823029593,0.99911611243175,0.307029716704319,0.999599008424769,0.937666451958582,0.938774451669691,0,0.997514912496409,0.781999557303869,0.999843596356087,0.939908746261663
TH,1,0.997627384267352,0.999997490669397,0.975196581769006,0.999976475878934,0.998930928197347,1,1,0.999166236220171,1,0.999996262881517,1,1,1,0.993012427686216,0.999995982885721,1,0.999848366271609,1,1,0.998667837309122,1,0.999918581052293,1,1,1,0.982997816907167,1,0.997184477033069,0.996578736885242,1,1,0.997514912496409,0,0.999697564473569,0.948044778222136,1
US,0.739752553272201,0.298885441578456,0.85113496469277,0.992728610048652,0.741639874126637,0.771239520494764,0.825724394366037,1,0.986285416620396,0.885618650036076,0.246329138538834,0.90946658948989,0.945532814222478,0.998408516517607,0.999148042913011,0.229119801386345,0.959380847545261,0.956012393183731,0.954153091976859,0.895762151964782,0.998612738887237,0.999922260360617,0.996545446259526,0.996895120901483,0.999758319306621,0.824253487051853,0.983464451813375,1,0.779401432333648,0.995579311901975,0.94133554127432,0.85185042392752,0.781999557303869,0.999697564473569,0,0.996043365303085,0.883751787190018
VN,1,0.989039880278437,1,0.971549751671257,0.999118783102257,0.998125939650782,1,1,0.999965058618361,1,0.999998953854956,1,1,1,0.99803154391507,0.999998875474724,1,0.997164749172488,1,1,1,1,0.999885385156286,1,1,1,0.992416740853325,1,0.997768116979682,0.99882292798423,1,1,0.999843596356087,0.948044778222136,0.996043365303085,0,1
ZA,0.927985033560973,0.876977980798455,0.984280080127618,1,0.891472962716038,0.936473117160119,0.986163373791197,1,0.99639364413053,0.986125589297498,0.868122651973251,0.914183650178992,0.98666898052393,0.999393590816617,1,0.865173571709579,0.99021914502023,0.984996712017743,0.986608677012128,0.986287371928301,1,0.743633729072805,1,0.999152639559891,0.999972968634974,0.987026722821006,0.997102489664664,0.900426827817435,0.93894493283817,0.999918114825803,0.986335207879999,0.986204837313136,0.939908746261663,1,0.883751787190018,1,0
